Location,Property,"Staff & Location - Employee Number","Submission Date","Submitted By","Assigned To"
"Sec 33 - University Park","Matteson Retail Center",102,"12/30/2015 10:13 AM","SnowPlus Staff","Scott Senne"
"Sec 33 - University Park","DSC Logistics",102,"12/30/2015 10:13 AM","SnowPlus Staff","Scott Senne"
"Sec 33 - University Park","UTI Michelin",102,"12/30/2015 10:12 AM","SnowPlus Staff","Scott Senne"
"Sec 33 - University Park","Matteson Retail Center",102,"12/28/2015 04:19 AM","SnowPlus Staff","Scott Senne"
"Sec 33 - University Park","UTI Michelin",102,"12/28/2015 03:33 AM","SnowPlus Staff","Scott Senne"
"Sec 33 - University Park","DSC Logistics",102,"12/28/2015 03:32 AM","SnowPlus Staff","Scott Senne"
"Sec 33 - University Park","Matteson Retail Center",102,"12/18/2015 10:11 PM","SnowPlus Staff","Scott Senne"
"Sec 33 - University Park","UTI Michelin",102,"12/18/2015 09:49 PM","SnowPlus Staff","Scott Senne"
"Sec 33 - University Park","DSC Logistics",102,"12/18/2015 08:59 PM","SnowPlus Staff","Scott Senne"
